Date,Political Stability No Violence,Voice and Accountability,"Gross fixed capital formation (% of GDP)",GDP growth (annual %),democracy index
1995,,,25.25571802,2.373748194,
1996,0.5771039,0.333626,25.55336716,4.258445311,
1997,0.7022572,-0.1062652,28.42515711,5.099660481,
1998,0.9349183,-0.0119737,25.22762474,-5.882622876,
1999,0.9059312,0.1908886,20.36314122,2.506689764,
2000,0.9485869,0.44989,21.62233897,7.663462103,
2001,1.145968,0.5621405,21.04119012,0.560880517,
2002,1.337111,0.6203917,18.23761062,1.656652582,
2003,1.19053,0.5081102,17.16697078,3.056254298,
2004,1.103631,0.4763652,17.77183475,8.700065555,
2005,1.130013,0.447788,18.10703727,7.388176852,
2006,0.9661998,0.4794998,19.73590998,7.032611619,6.03
2007,0.9358106,0.5148422,18.31875819,6.464804513,
2008,0.9485961,0.574968,18.03392939,2.127917031,5.85
2009,1.006289,0.6397095,17.54605257,-2.459140302,
2010,0.9228683,0.725163,18.11800947,6.767668588,5.92
2011,1.153229,0.5356985,19.53386786,4.814682268,5.92
2012,1.046295,0.5148095,20.91088182,1.700325218,6.42
2013,0.7508071,0.3772678,19.45816897,3.101546766,6.42
2014,0.8294839,0.4282603,18.55186161,2.762376595,6.46
2015,0.7835555,0.4400779,17.46772687,2.387802316,6.5
2016,-0.222178,0.1269743,16.52994373,2.169494388,6.42
2017,0.0922063,0.0384611,16.73842514,3.791005986,6.31
2018,,,16.85724656,2.846447939,6.15
2019,,,13.67642096,-1.67975617,6.02
2020,,,11.75498487,-6.081467784,5.57
