Date,World,China,United Kingdom
1997,894106626.9,5324000,45957000
1998,944271165.7,8426000,50872000
1999,1003063010,9232000,53881000
2000,1079441641,10473000,56837000
2001,1078486595,12133000,58281000
2002,1084676132,16602000,59377000
2003,1087206033,20222000,61424000
2004,1155197203,28853000,64194000
2005,1206768080,31026000,66494000
2006,1330197941,34524000,69536000
2007,1371063788,40954000,69450000
2008,1397712947,45844000,69011000
2009,1344113961,47656000,63513000
2010,1416354950,57386000,64647000
2011,1468886801,70250000,67493000
2012,1527838950,83182000,66858000
2013,1603962475,98185000,68959000
2014,1614143161,116593000,72204000
2015,1685021761,127860000,77619000
2016,1767079821,135130000,81757000
2017,1878262775,143035000,87242000
2018,1930872510,149720000,90571000
2019,1979127249,154632000,93086000
