DATE,QHKR628BIS
1979,46.7371
1980,49.4687
1981,48.099
1982,36.1342
1983,30.8242
1984,29.7875
1985,36.0542
1986,40.5984
1987,48.4309
1988,51.514
1989,52.8624
1990,74.2993
1991,79.3728
1992,77.0225
1993,94.6147
1994,85.3621
1995,77.7028
1996,102.9375
1997,65.0424
1998,66.8824
1999,66.4739
2000,56.7564
2001,53.1028
2002,46.0408
2003,55.004
2004,66.9475
2005,67.086
2006,69.5867
2007,86.1734
2008,73.2217
2009,93.4491
2010,111.9423
2011,112.5497
2012,139.2015
2013,137.4699
2014,156.0895
2015,144.2056
2016,164.4446
2017,185.6542
2018,183.9822
2019,184.6611
2020,186.506
