,Country_name,Tourism,Year
0,Germany,,2019
1,Germany,108542000.0,2018
2,Germany,92402000.0,2017
3,Germany,90966000.0,2016
4,Germany,83737000.0,2015
5,Germany,83008000.0,2014
6,Germany,87459000.0,2013
7,Germany,82729000.0,2012
8,Germany,84692000.0,2011
9,Germany,85872000.0,2010
10,Germany,85547000.0,2009
11,Germany,86201000.0,2008
12,Germany,82099000.0,2007
13,Germany,81801000.0,2006
14,Germany,86622000.0,2005
15,Germany,84859000.0,2004
16,Germany,85345000.0,2003
17,Germany,80393000.0,2002
18,Germany,81551000.0,2001
19,Germany,80507000.0,2000
20,Germany,78100000.0,1999
21,Germany,69200000.0,1998
22,Germany,55800000.0,1997
23,Germany,,1996
24,Germany,,1995
25,United Kingdom,93086000.0,2019
26,United Kingdom,90571000.0,2018
27,United Kingdom,87242000.0,2017
28,United Kingdom,81757000.0,2016
29,United Kingdom,77619000.0,2015
30,United Kingdom,72204000.0,2014
31,United Kingdom,68959000.0,2013
32,United Kingdom,66858000.0,2012
33,United Kingdom,67493000.0,2011
34,United Kingdom,64647000.0,2010
35,United Kingdom,63513000.0,2009
36,United Kingdom,69011000.0,2008
37,United Kingdom,69450000.0,2007
38,United Kingdom,69536000.0,2006
39,United Kingdom,66494000.0,2005
40,United Kingdom,64194000.0,2004
41,United Kingdom,61424000.0,2003
42,United Kingdom,59377000.0,2002
43,United Kingdom,58281000.0,2001
44,United Kingdom,56837000.0,2000
45,United Kingdom,53881000.0,1999
46,United Kingdom,50872000.0,1998
47,United Kingdom,45957000.0,1997
48,United Kingdom,42050000.0,1996
49,United Kingdom,41345000.0,1995
50,Italy,62207000.0,2019
51,Italy,61194601.5625,2018
52,Italy,60042000.0,2017
53,Italy,57480000.0,2016
54,Italy,57418000.0,2015
55,Italy,55169000.0,2014
56,Italy,52633000.0,2013
57,Italy,53338000.0,2012
58,Italy,52617000.0,2011
59,Italy,55304000.0,2010
60,Italy,54839000.0,2009
61,Italy,54421000.0,2008
62,Italy,49166000.0,2007
63,Italy,46369000.0,2006
64,Italy,43407000.0,2005
65,Italy,40400000.0,2004
66,Italy,46357000.0,2003
67,Italy,44660000.0,2002
68,Italy,43611000.0,2001
69,Italy,44628000.0,2000
70,Italy,42390000.0,1999
71,Italy,42431000.0,1998
72,Italy,40196000.0,1997
73,Italy,,1996
74,Italy,,1995
75,Russian Federation,45330000.0,2019
76,Russian Federation,41964000.0,2018
77,Russian Federation,39629000.0,2017
78,Russian Federation,31659000.0,2016
79,Russian Federation,34550000.0,2015
80,Russian Federation,45889000.0,2014
81,Russian Federation,54069000.0,2013
82,Russian Federation,47813000.0,2012
83,Russian Federation,43726000.0,2011
84,Russian Federation,39323000.0,2010
85,Russian Federation,34276000.0,2009
86,Russian Federation,36538000.0,2008
87,Russian Federation,34285000.0,2007
88,Russian Federation,29107000.0,2006
89,Russian Federation,28416000.0,2005
90,Russian Federation,24507000.0,2004
91,Russian Federation,20572000.0,2003
92,Russian Federation,20428000.0,2002
93,Russian Federation,18030000.0,2001
94,Russian Federation,18371000.0,2000
95,Russian Federation,12631000.0,1999
96,Russian Federation,10635000.0,1998
97,Russian Federation,11182000.0,1997
98,Russian Federation,12260000.0,1996
99,Russian Federation,21329000.0,1995
100,Japan,20080000.0,2019
101,Japan,18954000.0,2018
102,Japan,17889000.0,2017
103,Japan,17116000.0,2016
104,Japan,16214000.0,2015
105,Japan,16903000.0,2014
106,Japan,17473000.0,2013
107,Japan,18491000.0,2012
108,Japan,16994000.0,2011
109,Japan,16637000.0,2010
110,Japan,15446000.0,2009
111,Japan,15987000.0,2008
112,Japan,17295000.0,2007
113,Japan,17535000.0,2006
114,Japan,17404000.0,2005
115,Japan,16831000.0,2004
116,Japan,13296000.0,2003
117,Japan,16523000.0,2002
118,Japan,16216000.0,2001
119,Japan,17819000.0,2000
120,Japan,16358000.0,1999
121,Japan,15806000.0,1998
122,Japan,16803000.0,1997
123,Japan,16695000.0,1996
124,Japan,15298000.0,1995
