DATE,category,value
2020-09-01,Consumer Price Index: Energy for United Kingdom,105.5
2020-10-01,Consumer Price Index: Energy for United Kingdom,101.9
2020-11-01,Consumer Price Index: Energy for United Kingdom,101.6
2020-12-01,Consumer Price Index: Energy for United Kingdom,102.5
2021-01-01,Consumer Price Index: Energy for United Kingdom,103.6
2021-02-01,Consumer Price Index: Energy for United Kingdom,105.1
2021-03-01,Consumer Price Index: Energy for United Kingdom,106.5
2021-04-01,Consumer Price Index: Energy for United Kingdom,112
2021-05-01,Consumer Price Index: Energy for United Kingdom,112.7
2021-06-01,Consumer Price Index: Energy for United Kingdom,113.8
2021-07-01,Consumer Price Index: Energy for United Kingdom,114.9
2021-08-01,Consumer Price Index: Energy for United Kingdom,115.5
2021-09-01,Consumer Price Index: Energy for United Kingdom,115.8
2020-09-01,Consumer Price Index of All Items in the United Kingdom,109.2
2020-10-01,Consumer Price Index of All Items in the United Kingdom,109.2
2020-11-01,Consumer Price Index of All Items in the United Kingdom,109.1
2020-12-01,Consumer Price Index of All Items in the United Kingdom,109.4
2021-01-01,Consumer Price Index of All Items in the United Kingdom,109.3
2021-02-01,Consumer Price Index of All Items in the United Kingdom,109.4
2021-03-01,Consumer Price Index of All Items in the United Kingdom,109.7
2021-04-01,Consumer Price Index of All Items in the United Kingdom,110.4
2021-05-01,Consumer Price Index of All Items in the United Kingdom,111
2021-06-01,Consumer Price Index of All Items in the United Kingdom,111.4
2021-07-01,Consumer Price Index of All Items in the United Kingdom,111.4
2021-08-01,Consumer Price Index of All Items in the United Kingdom,112.1
2021-09-01,Consumer Price Index of All Items in the United Kingdom,112.4
